venue,winner,wins,team,total_matches,win_percentage
Arun Jaitley Stadium,MI,4,MI,6,66.66666666666666
Arun Jaitley Stadium,PBKS,2,PBKS,3,66.66666666666666
Arun Jaitley Stadium,SRH,4,SRH,6,66.66666666666666
Arun Jaitley Stadium,CSK,3,CSK,5,60.0
Arun Jaitley Stadium,DD,4,DD,7,57.14285714285714
Arun Jaitley Stadium,DC,10,DC,19,52.63157894736842
Arun Jaitley Stadium,GT,1,GT,2,50.0
Arun Jaitley Stadium,RCB,1,RCB,3,33.33333333333333
Arun Jaitley Stadium,RR,1,RR,5,20.0
Barabati Stadium,KKR,3,KKR,3,100.0
Barabati Stadium,DEC,3,DEC,4,75.0
Barabati Stadium,PBKS,1,PBKS,3,33.33333333333333
Barsapara Cricket Stadium,PBKS,2,PBKS,2,100.0
Barsapara Cricket Stadium,RR,1,RR,3,33.33333333333333
Brabourne Stadium,DC,4,DC,4,100.0
Brabourne Stadium,SRH,3,SRH,4,75.0
Brabourne Stadium,RR,5,RR,7,71.42857142857143
Brabourne Stadium,GT,2,GT,3,66.66666666666666
Brabourne Stadium,LSG,2,LSG,3,66.66666666666666
Brabourne Stadium,MI,7,MI,11,63.63636363636363
Brabourne Stadium,PBKS,2,PBKS,5,40.0
Brabourne Stadium,RCB,1,RCB,4,25.0
Brabourne Stadium,CSK,1,CSK,5,20.0
Buffalo Park,CSK,1,CSK,1,100.0
Buffalo Park,DD,1,DD,1,100.0
Buffalo Park,MI,1,MI,2,50.0
De Beers Diamond Oval,CSK,1,CSK,1,100.0
De Beers Diamond Oval,PBKS,1,PBKS,1,100.0
De Beers Diamond Oval,DEC,1,DEC,2,50.0
Dr DY Patil Sports Academy,CSK,6,CSK,8,75.0
Dr DY Patil Sports Academy,LSG,3,LSG,4,75.0
Dr DY Patil Sports Academy,SRH,3,SRH,4,75.0
Dr DY Patil Sports Academy,MI,6,MI,11,54.54545454545454
Dr DY Patil Sports Academy,DC,2,DC,4,50.0
Dr DY Patil Sports Academy,DD,1,DD,2,50.0
Dr DY Patil Sports Academy,GT,2,GT,4,50.0
Dr DY Patil Sports Academy,KKR,3,KKR,6,50.0
Dr DY Patil Sports Academy,RCB,3,RCB,6,50.0
Dr DY Patil Sports Academy,PBKS,2,PBKS,5,40.0
Dr DY Patil Sports Academy,DEC,2,DEC,6,33.33333333333333
Dr DY Patil Sports Academy,RR,2,RR,6,33.33333333333333
Dr DY Patil Sports Academy,PWI,2,PWI,7,28.57142857142857
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RR,1,RR,1,100.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CSK,2,CSK,3,66.66666666666666
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RPS,2,RPS,3,66.66666666666666
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,DC,2,DC,4,50.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,KKR,1,KKR,2,50.0
